1,Dreamhack Summer 2015,# DESCRIPTION PLACEHOLDER #,League of Legends,Elmia Exhibition and Convention Centre,Jonkoping,Sweden,"Elmiavägen 11, 554 54 Jönköping, Sweden","150,000",Admin,120,# TEAM PLACEHOLDER #,2015/06/13,2015/06/17,09:00,2015/01/02,http://www.dreamhack.se/,
2,Dreamhack Summer 2015,# DESCRIPTION PLACEHOLDER #,DotA 2,Elmia Exhibition and Convention Centre,Jonkoping,Sweden,"Elmiavägen 11, 554 54 Jönköping, Sweden","150,000",Admin,120,# TEAM PLACEHOLDER #,2015/06/13,2015/06/17,09:00,2015/01/02,http://www.dreamhack.se/,
3,Dreamhack Summer 2015,# DESCRIPTION PLACEHOLDER #,Counter Strike:Global Offensive,Elmia Exhibition and Convention Centre,Jonkoping,Sweden,"Elmiavägen 11, 554 54 Jönköping, Sweden","200,000",Admin,120,# TEAM PLACEHOLDER #,2015/06/13,2015/06/17,09:00,2015/01/02,http://www.dreamhack.se/,
4,Dreamhack Summer 2015,# DESCRIPTION PLACEHOLDER #,Starcraft 2,Elmia Exhibition and Convention Centre,Jonkoping,Sweden,"Elmiavägen 11, 554 54 Jönköping, Sweden","175,000",Admin,120,# TEAM PLACEHOLDER #,2015/06/13,2015/06/17,09:00,2015/01/02,http://www.dreamhack.se/,
5,Dreamhack Summer 2015,# DESCRIPTION PLACEHOLDER #,Hearthstone,Elmia Exhibition and Convention Centre,Jonkoping,Sweden,"Elmiavägen 11, 554 54 Jönköping, Sweden","100,000",Admin,120,# TEAM PLACEHOLDER #,2015/06/13,2015/06/17,09:00,2015/01/02,http://www.dreamhack.se/,
6,Dreamhack Summer 2015,# DESCRIPTION PLACEHOLDER #,Call of Duty: Advanced Warfare,Elmia Exhibition and Convention Centre,Jonkoping,Sweden,"Elmiavägen 11, 554 54 Jönköping, Sweden","100,000",Admin,120,# TEAM PLACEHOLDER #,2015/06/13,2015/06/17,09:00,2015/01/02,http://www.dreamhack.se/,
7,Dreamhack Winter 2015,# DESCRIPTION PLACEHOLDER #,League of Legends,Elmia Exhibition and Convention Centre,Jonkoping,Sweden,"Elmiavägen 11, 554 54 Jönköping, Sweden","150,000",Admin,150,# TEAM PLACEHOLDER #,2015/11/27,2015/11/30,09:00,2015/01/02,http://www.dreamhack.se/,
8,Dreamhack Winter 2015,# DESCRIPTION PLACEHOLDER #,DotA 2,Elmia Exhibition and Convention Centre,Jonkoping,Sweden,"Elmiavägen 11, 554 54 Jönköping, Sweden","150,000",Admin,150,# TEAM PLACEHOLDER #,2015/11/27,2015/11/30,09:00,2015/01/02,http://www.dreamhack.se/,
9,Dreamhack Winter 2015,# DESCRIPTION PLACEHOLDER #,Counter Strike:Global Offensive,Elmia Exhibition and Convention Centre,Jonkoping,Sweden,"Elmiavägen 11, 554 54 Jönköping, Sweden","200,000",Admin,150,# TEAM PLACEHOLDER #,2015/11/27,2015/11/30,09:00,2015/01/02,http://www.dreamhack.se/,
10,Dreamhack Winter 2015,# DESCRIPTION PLACEHOLDER #,Starcraft 2,Elmia Exhibition and Convention Centre,Jonkoping,Sweden,"Elmiavägen 11, 554 54 Jönköping, Sweden","175,000",Admin,150,# TEAM PLACEHOLDER #,2015/11/27,2015/11/30,09:00,2015/01/02,http://www.dreamhack.se/,
11,Dreamhack Winter 2015,# DESCRIPTION PLACEHOLDER #,Hearthstone,Elmia Exhibition and Convention Centre,Jonkoping,Sweden,"Elmiavägen 11, 554 54 Jönköping, Sweden","100,000",Admin,150,# TEAM PLACEHOLDER #,2015/11/27,2015/11/30,09:00,2015/01/02,http://www.dreamhack.se/,
12,Dreamhack Winter 2015,# DESCRIPTION PLACEHOLDER #,Call of Duty: Advanced Warfare,Elmia Exhibition and Convention Centre,Jonkoping,Sweden,"Elmiavägen 11, 554 54 Jönköping, Sweden","100,000",Admin,150,# TEAM PLACEHOLDER #,2015/11/27,2015/11/30,09:00,2015/01/02,http://www.dreamhack.se/,
13,Intel Extreme Masters - ESL One Katowice 2014,# DESCRIPTION PLACEHOLDER #,League of Legends,Spodek Arena,Katowice,Poland ,"Aleja Wojciecha Korfantego 35, Katowice, Poland","200,000",Admin,59,# TEAM PLACEHOLDER #,2014/03/12,2014/03/15,08:00,2015/01/02,http://intelextrememasters.com/,
